Vehicle_Type,Fuel_Type,Vehicle_Age,Average_Mileage,Trip_Distance,Max_Capacity,Cargo_Weight,Traffic,Road_Type,AC,Fuel_Required
Bus,Diesel,4,4.87,474,0,0,High,Mixed,1,136.66
Mini Truck,Petrol,9,8.8,368,2984,1329,High,Mixed,1,62.64
Truck,Petrol,10,5.26,64,7975,2746,Medium,Mixed,1,18.81
Van,Diesel,7,11.47,151,1096,805,Medium,Highway,1,15.96
Bus,Diesel,9,4.82,60,1,0,Medium,Highway,1,17.39
Bus,Diesel,11,4.91,169,1,1,Low,City,1,50.84
Bus,Diesel,5,4.21,898,0,0,High,City,0,302.6
Mini Truck,Petrol,8,7.03,589,1137,904,High,Mixed,1,129.53
Bus,Petrol,8,3.54,1000,0,0,Low,Highway,1,318.66
Mini Truck,Petrol,11,6.6,992,2756,1186,Low,Mixed,1,196.77
Van,Petrol,9,12.67,485,1149,443,Medium,Highway,0,47.48
Van,Petrol,10,10.28,778,724,441,Medium,City,0,110.3
Bus,Diesel,8,4.09,22,1,1,Medium,Highway,1,8.73
Van,Petrol,6,9.41,402,1542,915,Medium,Mixed,0,57.79
Mini Truck,Diesel,1,9.33,991,1903,1368,High,Highway,1,150.07
Van,Petrol,8,9.71,932,1245,797,Medium,Highway,0,123.01
Van,Diesel,1,9.16,695,1199,937,High,Mixed,1,112.8
Truck,Petrol,4,3.43,368,7996,1487,Medium,City,0,144.15
Truck,Diesel,6,5.75,437,11809,3487,High,Mixed,0,106.52
Van,Diesel,4,14.41,860,1050,149,Low,Mixed,1,73.34
Bus,Diesel,3,4.18,769,1,1,High,City,1,299.58
Mini Truck,Diesel,12,7.99,65,1178,872,Low,City,1,11.83
Mini Truck,Diesel,5,9.15,475,2013,1785,Low,Highway,1,66.67
Truck,Petrol,5,5.68,416,7648,1613,High,City,0,108.31
Mini Truck,Diesel,9,9.64,210,2877,1788,Low,City,1,30.41
Mini Truck,Petrol,1,8.96,403,2044,1991,High,City,1,71.74
Truck,Diesel,5,5.28,88,11183,5039,Medium,Highway,1,21.28
Bus,Diesel,11,3.13,763,0,0,High,Mixed,1,356.31
Van,Petrol,4,13.25,196,1905,1171,Low,Mixed,0,19.27
Van,Diesel,12,10.31,556,1698,1640,Low,Highway,1,72.48
Truck,Diesel,8,5.1,901,5013,1733,Low,Mixed,0,216.67
Bus,Petrol,9,3.52,484,1,1,Medium,Highway,1,197.22
Bus,Diesel,12,4.9,27,1,1,Medium,City,1,9.27
Van,Diesel,2,11.41,470,1135,758,High,City,1,64.64
Mini Truck,Petrol,6,9.27,414,3947,1773,Medium,City,1,62.53
Mini Truck,Diesel,9,7.41,707,1034,1024,High,City,0,153.15
Mini Truck,Petrol,6,9.52,522,1757,144,Medium,Highway,1,67.62
Mini Truck,Diesel,10,8.23,499,2997,588,Medium,City,1,86.91
Van,Diesel,1,11.59,587,1906,1433,Medium,Mixed,0,66.51
Mini Truck,Diesel,10,9.31,257,2914,2782,High,Mixed,1,45.06
Bus,Diesel,1,3.76,332,1,0,Medium,City,0,111.18
Truck,Diesel,3,5.4,273,4437,2104,Low,Highway,0,57.74
Van,Diesel,4,13.92,963,661,111,Low,Mixed,1,83.14
Truck,Petrol,6,3.75,371,11712,5298,High,City,1,153.58
Bus,Diesel,12,3.58,603,0,0,Medium,Highway,1,215.1
Truck,Petrol,4,4.24,374,10495,4144,Medium,Mixed,0,113.62
Bus,Diesel,8,4.92,685,0,0,High,City,0,202.51
Van,Petrol,6,14.81,462,1368,1264,Low,Mixed,0,40.18
Bus,Petrol,11,3.5,354,1,0,High,City,0,148.91
Truck,Diesel,12,4.3,454,7321,7050,High,City,1,181.0
Mini Truck,Diesel,10,6.78,310,3801,2198,Low,City,1,64.21
Truck,Petrol,10,4.37,598,10112,7887,High,Mixed,0,211.37
Truck,Diesel,3,4.96,641,11101,1262,Low,Mixed,1,152.23
Van,Diesel,4,12.24,182,1852,930,Low,Highway,0,14.6
Bus,Diesel,10,3.08,768,1,1,Medium,Highway,1,356.05
Bus,Petrol,12,3.37,116,0,0,Medium,City,1,49.83
Mini Truck,Diesel,11,9.17,714,3464,868,Medium,Highway,0,97.37
Bus,Diesel,12,3.26,350,0,0,Low,Mixed,0,128.54
Bus,Diesel,4,3.11,340,1,1,High,Mixed,1,172.82
Truck,Petrol,3,3.18,324,7638,4335,Low,City,0,129.78
Mini Truck,Petrol,6,6.06,775,3458,869,Low,Highway,0,139.49
Mini Truck,Diesel,3,7.06,970,1016,309,Low,Highway,0,148.84
Truck,Petrol,8,3.29,713,5849,1930,Medium,Mixed,0,285.35
Van,Petrol,8,12.78,466,951,501,Medium,City,1,52.62
Mini Truck,Petrol,2,7.75,507,2817,1462,Low,City,1,85.71
Bus,Diesel,5,3.94,204,0,0,Medium,City,1,70.49
Truck,Petrol,11,3.74,810,6557,6542,High,Mixed,0,344.26
Bus,Diesel,8,4.42,90,0,0,Medium,Highway,0,24.4
Van,Petrol,4,12.82,467,1666,103,Low,City,1,47.75
Van,Petrol,8,11.84,925,940,721,High,Highway,0,111.94
Truck,Diesel,8,5.76,472,4796,1212,Medium,Mixed,0,107.31
Bus,Petrol,8,4.34,991,0,0,Medium,Highway,0,268.83
Truck,Petrol,11,3.56,873,5904,275,High,City,1,376.23
Truck,Diesel,1,5.15,423,7119,1553,Medium,Highway,1,97.8
Bus,Petrol,5,3.42,786,0,0,High,City,0,325.78
Bus,Diesel,3,4.38,666,0,0,Low,City,0,179.86
Van,Petrol,7,13.31,180,989,326,Medium,Mixed,0,20.53
Mini Truck,Petrol,11,7.93,212,1230,447,High,City,0,40.46
Truck,Diesel,1,4.76,453,3982,2726,Low,Mixed,0,114.96
Bus,Petrol,11,4.91,310,1,1,Medium,City,1,100.31
Truck,Petrol,3,4.66,493,8063,7896,High,Highway,0,151.37
Bus,Petrol,7,4.28,208,0,0,High,City,1,72.73
Bus,Petrol,9,3.57,362,0,0,Medium,Mixed,1,135.39
Van,Petrol,2,11.79,341,1513,417,Low,Mixed,1,31.78
Truck,Petrol,7,4.71,740,9334,5881,High,City,1,249.05
Bus,Petrol,1,3.08,742,0,0,Low,City,1,290.9
Van,Diesel,10,14.06,282,1057,1056,High,Highway,0,31.4
Truck,Diesel,3,5.91,114,5095,2671,High,City,1,27.91
Bus,Petrol,10,4.27,484,0,0,High,Highway,0,146.01
Mini Truck,Petrol,7,6.18,167,1287,583,Medium,City,0,38.56
Truck,Diesel,10,5.54,99,3757,2232,Low,City,0,24.54
Van,Diesel,2,9.1,673,910,370,Low,City,0,90.63
Van,Diesel,10,12.83,753,567,89,High,Mixed,1,85.58
Mini Truck,Diesel,9,7.04,713,2887,1771,High,Mixed,1,155.86
Van,Diesel,9,11.81,692,935,675,Medium,City,1,89.19
Mini Truck,Diesel,1,9.8,179,2795,2071,Medium,City,1,25.61
Mini Truck,Petrol,7,8.43,247,3817,2301,Medium,Mixed,0,40.4
Bus,Diesel,9,3.82,919,0,0,High,Mixed,1,343.0
Truck,Petrol,6,4.74,189,8475,6998,High,City,0,61.92
Mini Truck,Petrol,10,9.0,846,1599,431,Low,City,1,125.41
Van,Petrol,4,12.79,963,1122,845,High,Mixed,0,110.79
Mini Truck,Diesel,12,8.73,217,2914,724,High,Mixed,0,35.76
Bus,Petrol,7,3.83,67,0,0,Medium,Highway,1,22.3
Mini Truck,Diesel,9,6.19,425,2550,2102,Low,Mixed,1,91.72
Mini Truck,Diesel,5,9.89,930,3474,1043,Low,Highway,1,108.57
Truck,Petrol,10,5.12,255,9833,1420,High,City,1,77.67
Truck,Diesel,12,4.97,273,4662,4460,High,Highway,0,85.29
Mini Truck,Diesel,5,7.88,843,3398,279,Low,Mixed,0,121.89
Mini Truck,Petrol,10,9.88,644,2014,1293,High,Highway,0,93.96
Van,Diesel,1,9.46,533,940,98,Medium,Highway,0,61.43
Truck,Diesel,4,4.74,241,8960,2488,Low,Highway,0,52.55
Mini Truck,Diesel,11,6.27,586,1019,607,Low,Highway,0,114.78
Mini Truck,Diesel,3,6.98,957,3249,2436,Medium,City,0,193.99
Truck,Diesel,3,4.87,120,3297,1003,High,City,1,38.49
Bus,Petrol,10,4.39,27,0,0,High,Highway,0,6.47
Truck,Petrol,7,5.61,198,6482,6207,Medium,City,0,53.3
Bus,Diesel,9,4.82,401,1,0,Low,City,1,109.56
Mini Truck,Petrol,7,8.48,661,1465,952,Low,Mixed,1,103.16
Truck,Diesel,8,3.42,884,6053,271,Medium,Highway,0,307.42
Van,Diesel,9,14.6,662,913,289,High,Mixed,0,65.62
Van,Diesel,3,9.68,32,1864,1395,Low,City,0,2.46
Van,Petrol,12,9.46,719,978,142,High,City,0,116.86
Mini Truck,Petrol,3,7.44,63,3685,3559,Low,Highway,0,9.46
Truck,Diesel,7,4.4,189,8674,4753,High,Mixed,0,63.69
Van,Petrol,8,13.08,430,707,85,Medium,Mixed,0,40.26
Truck,Petrol,8,5.38,774,11798,6740,Low,Mixed,0,180.26
Van,Petrol,2,11.0,915,1538,813,Medium,Highway,1,106.96
Mini Truck,Diesel,1,6.68,105,1167,612,Medium,Mixed,1,20.56
Van,Diesel,5,14.67,830,524,369,Low,Highway,1,71.15
Truck,Diesel,11,4.03,834,10329,5281,Medium,Highway,1,279.71
Bus,Diesel,9,3.58,83,1,1,Low,City,1,31.87
Mini Truck,Petrol,10,7.97,44,1028,465,High,City,1,9.91
Bus,Petrol,1,3.68,349,0,0,Medium,Mixed,0,112.15
Truck,Petrol,3,4.33,473,10447,9747,Low,Mixed,0,140.44
Van,Diesel,2,14.08,153,1620,483,Low,City,0,13.33
Truck,Diesel,2,5.48,457,7188,226,Low,City,0,96.19
Truck,Diesel,6,3.09,430,7961,339,Medium,Highway,0,162.69
Mini Truck,Petrol,8,9.21,491,3945,363,Low,Mixed,1,68.03
Bus,Petrol,8,4.13,665,1,0,High,Highway,0,209.91
Bus,Diesel,8,4.48,335,0,0,High,City,0,108.36
Van,Diesel,10,9.37,791,754,102,Medium,City,1,121.53
Mini Truck,Petrol,8,7.76,901,1291,1196,Medium,Highway,1,162.43
Mini Truck,Diesel,2,7.94,829,3327,627,Low,City,1,131.17
Bus,Petrol,2,4.86,796,1,1,Low,Highway,0,195.23
Van,Diesel,5,13.22,332,1216,471,Medium,Mixed,0,32.92
Mini Truck,Petrol,11,6.54,172,1776,1492,Low,Mixed,1,37.83
Van,Petrol,9,12.38,389,1471,482,High,Mixed,1,46.1
Van,Petrol,3,12.72,663,889,220,High,City,1,79.61
Truck,Diesel,12,5.7,647,3491,3340,Low,Mixed,1,161.32
Mini Truck,Diesel,12,8.43,804,3164,1262,Medium,City,1,141.21
Bus,Diesel,11,3.91,346,0,0,High,City,1,136.59
Van,Diesel,10,9.46,697,1632,852,Medium,City,0,106.05
Van,Petrol,4,11.0,260,962,850,Medium,Highway,1,32.8
Van,Diesel,2,11.47,296,898,251,Low,Highway,1,28.56
Van,Diesel,6,11.39,923,901,261,High,City,0,120.04
Mini Truck,Diesel,7,6.69,449,3163,2279,Low,Highway,0,81.11
Bus,Petrol,1,3.57,391,1,1,High,Highway,1,160.25
Van,Petrol,5,14.6,127,672,79,Medium,City,1,9.53
Bus,Petrol,10,3.66,803,1,0,Low,Mixed,1,268.52
Van,Petrol,7,10.43,96,724,375,Low,Mixed,0,12.56
Truck,Petrol,5,5.26,696,5844,2061,Medium,City,0,180.26
Mini Truck,Diesel,5,7.76,239,1836,661,High,Mixed,1,44.49
Bus,Diesel,6,3.48,82,0,0,Medium,City,0,29.24
Bus,Petrol,11,3.15,897,0,0,Medium,City,0,385.98
Van,Diesel,6,14.75,286,1642,351,Medium,Mixed,0,22.36
Truck,Diesel,12,4.51,434,5298,2056,Medium,Highway,1,128.81
Mini Truck,Diesel,5,6.82,963,1194,145,Medium,Mixed,1,183.11
Truck,Petrol,7,5.21,762,9377,1871,Low,City,1,189.84
Van,Petrol,5,12.64,551,801,65,Medium,Mixed,0,54.17
Mini Truck,Petrol,1,7.7,105,2090,1793,Medium,Mixed,0,18.77
Truck,Diesel,3,3.96,103,5273,1564,Medium,Highway,0,33.29
Bus,Diesel,3,4.82,591,1,0,High,Mixed,1,167.39
Van,Diesel,2,14.55,420,623,567,Low,City,1,41.34
Van,Petrol,1,14.1,801,1766,809,Medium,Mixed,1,76.29
Bus,Diesel,1,4.86,312,0,0,Low,City,1,76.74
Van,Petrol,7,9.08,882,1474,456,Medium,Highway,0,119.3
Mini Truck,Diesel,12,9.92,193,3370,1508,High,Mixed,1,29.62
Bus,Petrol,6,4.32,936,1,0,Medium,Mixed,0,268.89
Van,Diesel,6,10.89,500,1478,1177,High,Mixed,0,70.83
Mini Truck,Petrol,7,6.06,61,2277,408,Medium,Mixed,0,13.63
Bus,Diesel,6,3.01,603,1,0,Low,Highway,1,222.98
Mini Truck,Diesel,3,8.12,439,3259,2591,High,Mixed,1,81.83
Mini Truck,Diesel,10,7.68,712,2463,1258,Medium,City,0,131.9
Mini Truck,Petrol,2,9.19,110,1356,116,High,City,0,16.57
Mini Truck,Diesel,11,6.55,956,2273,1170,Low,Mixed,0,188.66
Van,Petrol,6,12.49,377,624,513,High,Mixed,0,43.68
Bus,Petrol,6,3.48,840,0,0,Medium,Mixed,0,298.04
Mini Truck,Petrol,12,9.78,862,2355,155,Medium,Mixed,1,120.18
Bus,Petrol,8,4.79,593,1,1,High,Mixed,1,198.14
Van,Petrol,2,10.02,869,1177,1128,Medium,City,1,128.49
Truck,Diesel,11,4.48,892,8318,2783,Low,City,0,262.36
Bus,Petrol,6,4.75,825,0,0,High,City,1,255.41
Bus,Diesel,3,3.12,700,0,0,High,City,1,324.15
Truck,Petrol,1,3.18,111,7296,6222,Medium,Mixed,0,47.74
Van,Petrol,3,11.49,930,1155,962,Medium,Highway,1,106.07
Truck,Diesel,11,5.82,742,10898,6145,Low,City,0,171.66
Bus,Petrol,2,3.62,42,1,0,Medium,Highway,1,12.82
Van,Diesel,7,13.74,926,918,269,Medium,Highway,0,83.28
Mini Truck,Petrol,4,7.8,686,3135,735,Medium,City,0,116.93
Van,Diesel,5,9.61,512,1755,135,Low,City,0,64.11
Van,Diesel,12,13.82,536,973,62,Medium,City,1,55.57
Truck,Petrol,4,4.26,700,10043,888,Low,Mixed,0,184.56
Van,Diesel,4,11.83,69,1633,1106,High,Highway,0,8.65
Truck,Diesel,7,4.46,982,9769,8170,Medium,City,1,335.25
Van,Petrol,6,13.59,338,1434,773,Medium,City,1,35.75
Bus,Diesel,4,3.5,648,0,0,Medium,Mixed,1,236.34
Van,Petrol,12,13.33,163,720,51,Medium,Mixed,0,14.7
Bus,Petrol,4,3.47,570,0,0,High,Mixed,0,221.47
Van,Diesel,4,12.92,393,668,210,High,Mixed,0,42.67
Bus,Petrol,6,4.49,495,0,0,Low,Highway,1,121.97
Bus,Diesel,7,3.28,414,1,0,Medium,City,0,166.59
Bus,Diesel,12,4.65,467,1,1,Low,Highway,1,135.45
Bus,Diesel,12,4.98,484,0,0,High,Mixed,1,144.33
Van,Diesel,3,12.5,600,609,447,Medium,City,0,66.49
Bus,Diesel,11,3.07,778,0,0,Medium,Mixed,0,326.0
Mini Truck,Petrol,2,6.64,569,3237,740,Medium,Mixed,0,107.6
Bus,Petrol,2,3.77,787,1,0,High,Mixed,1,285.28
Bus,Petrol,11,5.0,277,1,1,Medium,Highway,0,78.09
Truck,Diesel,5,3.22,330,9068,2783,Low,Mixed,1,128.63
Mini Truck,Petrol,6,7.02,534,1038,141,High,City,1,113.96
Bus,Diesel,2,4.79,482,1,1,Low,Mixed,0,129.62
Mini Truck,Petrol,3,9.04,780,2407,182,Low,Mixed,0,95.56
Truck,Petrol,11,3.23,868,10922,531,High,City,0,400.98
Bus,Petrol,1,4.35,443,0,0,Low,Highway,1,108.19
Truck,Petrol,10,4.85,926,4438,3156,Medium,City,1,292.31
Bus,Diesel,8,3.69,754,0,0,High,Mixed,0,281.21
Van,Petrol,8,13.12,962,1528,693,Low,City,0,94.18
Mini Truck,Petrol,9,9.74,387,1287,711,High,City,0,62.57
Bus,Petrol,7,4.35,900,0,0,Medium,City,1,280.97
Truck,Diesel,7,5.8,276,6915,3178,Medium,Mixed,0,63.04
Bus,Petrol,6,3.24,904,1,0,Low,Highway,0,296.88
Bus,Petrol,4,3.37,973,1,1,Low,Mixed,0,375.57
Bus,Petrol,10,3.81,103,0,0,Low,Mixed,1,35.59
Mini Truck,Petrol,9,9.36,417,3866,3593,High,City,1,75.96
Mini Truck,Petrol,12,6.79,972,3341,1740,Low,Highway,1,180.12
Van,Petrol,11,9.31,418,1951,419,High,Highway,0,61.48
Bus,Diesel,7,3.5,24,0,0,Low,Highway,1,7.62
Bus,Petrol,10,4.83,133,0,0,Medium,City,0,35.28
Truck,Diesel,10,5.48,497,9967,3993,High,Mixed,0,132.38
Bus,Petrol,4,4.62,450,0,0,Low,Highway,0,100.63
Truck,Petrol,4,4.04,676,10707,3376,High,City,1,251.35
Mini Truck,Petrol,7,8.48,804,2185,680,High,Mixed,1,140.0
Truck,Diesel,5,5.64,895,3578,889,High,Highway,1,216.27
Van,Diesel,4,13.51,198,1131,1072,High,City,1,21.89
Mini Truck,Diesel,12,9.18,762,1521,1399,Low,City,1,123.8
Truck,Diesel,9,4.54,268,5478,105,High,Highway,1,81.34
Bus,Petrol,3,4.32,960,1,0,High,Mixed,0,295.83
Truck,Diesel,11,5.79,497,11233,1287,Medium,Mixed,0,112.11
Van,Petrol,7,11.31,686,968,401,High,Mixed,1,91.36
Mini Truck,Diesel,9,6.29,444,2008,324,Medium,Mixed,1,96.04
Bus,Diesel,4,3.4,754,1,0,Low,Mixed,1,259.83
Truck,Diesel,8,4.08,702,8653,3242,High,Highway,0,234.29
Van,Petrol,12,11.06,995,1911,917,High,City,1,146.65
Mini Truck,Diesel,10,8.53,75,1194,511,Medium,City,1,14.42
Truck,Petrol,2,3.38,175,9521,5402,Medium,Mixed,1,69.29
Truck,Petrol,3,5.4,539,11279,3898,High,Highway,0,133.5
Truck,Petrol,2,3.83,528,10648,7237,Medium,City,0,191.32
Van,Petrol,12,9.51,443,1220,902,Medium,Highway,0,63.07
Van,Petrol,2,14.04,692,1842,671,Medium,Mixed,0,61.57
Van,Petrol,9,14.14,323,1688,1594,Low,Mixed,1,32.02
Bus,Petrol,8,4.67,98,1,1,High,Highway,1,30.02
Bus,Petrol,1,4.55,744,0,0,High,Highway,1,208.65
Bus,Petrol,12,3.89,165,0,0,Low,Mixed,1,51.71
Van,Petrol,1,14.54,311,1686,1597,Low,Highway,1,26.48
Truck,Petrol,7,3.32,439,8360,3764,Low,Mixed,1,170.58
Truck,Petrol,3,3.0,944,5291,238,Low,Mixed,0,352.6
Truck,Diesel,3,3.03,892,9994,6488,Medium,City,0,408.37
Mini Truck,Diesel,1,6.8,322,2817,915,Medium,Mixed,0,61.57
Mini Truck,Petrol,7,7.93,123,2884,2623,High,Mixed,0,24.14
Bus,Petrol,11,4.71,879,1,1,Low,Mixed,1,264.07
Mini Truck,Petrol,1,7.27,226,2601,1845,High,Highway,0,42.39
Mini Truck,Petrol,12,8.39,369,3418,3042,Medium,City,1,69.71
Van,Diesel,6,12.1,566,1529,878,Low,Highway,0,53.62
Bus,Diesel,2,3.27,452,0,0,Medium,Highway,1,161.96
Bus,Petrol,9,4.79,597,0,0,Medium,Mixed,0,157.56
Bus,Diesel,2,4.56,871,1,0,Medium,Mixed,1,238.28
Truck,Diesel,1,3.21,967,3910,3641,Low,City,0,399.12
Bus,Petrol,7,3.88,665,0,0,Medium,Mixed,1,221.09
Bus,Diesel,7,4.51,859,0,0,High,Mixed,0,261.11
Bus,Diesel,4,3.21,529,1,1,Low,Mixed,0,214.94
Van,Diesel,4,14.75,148,1217,601,High,Mixed,1,15.46
Van,Petrol,11,9.41,691,677,596,Low,Highway,1,97.8
Bus,Diesel,10,3.59,865,1,0,Low,City,1,313.62
Truck,Diesel,3,3.74,478,11884,11627,High,City,1,207.19
Mini Truck,Petrol,1,9.97,881,2586,677,High,Mixed,1,125.35
Truck,Diesel,5,3.05,646,6480,4621,Medium,Mixed,0,286.08
Mini Truck,Petrol,5,8.68,41,3672,796,High,Highway,0,5.1
Mini Truck,Diesel,3,8.76,229,3328,2721,High,Mixed,1,38.77
Truck,Diesel,7,5.26,190,6970,4176,Low,City,0,49.26
Bus,Petrol,9,3.16,247,1,0,Low,Highway,0,86.33
Mini Truck,Petrol,1,7.36,882,2839,1662,Medium,City,0,164.21
Van,Diesel,1,14.25,563,620,159,Medium,City,1,54.87
Bus,Diesel,6,4.01,263,0,0,High,Highway,0,82.89
Mini Truck,Diesel,7,7.75,133,3170,1974,High,Mixed,0,25.85
Bus,Petrol,11,4.86,369,1,1,Medium,Highway,0,105.39
Mini Truck,Petrol,10,9.37,734,2952,1059,Medium,Highway,1,103.99
Bus,Diesel,8,3.71,383,0,0,Medium,Mixed,1,135.1
Bus,Diesel,6,3.28,744,1,0,Low,Mixed,1,269.46
Truck,Diesel,2,3.94,934,10090,7804,Low,Highway,1,287.3
Truck,Petrol,8,4.28,57,9888,8100,High,City,0,22.33
Mini Truck,Diesel,10,8.18,234,3064,3011,Low,Mixed,0,38.01
Bus,Petrol,6,4.41,797,0,0,Medium,City,1,245.71
Truck,Diesel,11,3.9,227,8637,6173,High,Highway,0,83.63
Van,Diesel,5,12.74,305,1236,283,Medium,City,0,29.11
Bus,Diesel,6,4.73,893,1,1,High,Mixed,0,290.98
Mini Truck,Diesel,9,8.18,843,3620,829,Low,City,0,132.77
Mini Truck,Diesel,7,6.44,707,3151,3061,Medium,Highway,1,153.45
Mini Truck,Petrol,8,7.67,667,1736,441,Medium,Highway,0,104.25
Bus,Petrol,8,4.12,443,1,0,High,Highway,0,139.36
Truck,Diesel,3,5.17,810,7596,739,High,Highway,0,195.92
Van,Diesel,7,10.11,613,992,701,Medium,Mixed,0,85.15
Bus,Petrol,6,3.74,883,0,0,High,Mixed,0,319.79
Bus,Diesel,2,3.52,72,0,0,Low,City,1,26.46
Van,Diesel,4,14.43,174,824,517,Medium,City,0,18.05
Bus,Petrol,10,3.02,388,1,1,Medium,Highway,1,182.64
Mini Truck,Diesel,2,6.78,557,2501,244,Medium,Highway,1,96.2
Bus,Petrol,5,4.92,325,0,0,Medium,City,0,86.29
Van,Diesel,1,12.46,469,1240,1114,Low,Mixed,1,47.98
Mini Truck,Petrol,11,6.85,426,1857,159,Low,Highway,0,70.11
Bus,Petrol,1,3.21,782,0,0,Medium,Highway,0,269.83
Van,Diesel,12,14.34,547,1138,100,Medium,Mixed,1,49.96
Bus,Diesel,11,3.18,280,0,0,High,Mixed,0,121.47
Truck,Diesel,2,3.18,441,4604,3180,Low,City,1,186.7
Van,Diesel,9,10.64,94,1151,626,Medium,Highway,1,11.15
Mini Truck,Petrol,3,6.65,97,3354,1441,Low,Mixed,0,16.66
Bus,Petrol,2,3.07,777,1,0,High,Highway,0,314.67
Mini Truck,Diesel,5,7.68,472,1072,212,Medium,Mixed,1,82.26
Van,Diesel,12,11.28,304,774,319,Low,Highway,1,33.2
Mini Truck,Petrol,9,8.18,914,2308,1927,Low,Highway,0,138.18
Mini Truck,Petrol,1,9.5,176,3798,1121,Low,Mixed,0,21.78
Bus,Petrol,12,3.51,491,0,0,Low,Highway,0,155.04
Mini Truck,Diesel,10,8.06,269,1098,345,High,Mixed,0,48.88
Bus,Diesel,7,3.87,278,0,0,High,City,0,104.1
Van,Diesel,2,12.0,486,665,260,High,City,1,61.99
Bus,Diesel,3,4.13,319,0,0,High,Highway,0,94.23
Truck,Diesel,9,5.87,385,11992,1183,High,Highway,0,86.17
Bus,Diesel,2,4.69,143,1,0,Low,City,1,36.14
Van,Petrol,1,14.11,774,616,488,Low,Mixed,0,67.73
Bus,Diesel,4,4.77,75,1,0,Low,Mixed,0,18.19
Bus,Diesel,12,4.51,634,1,1,Medium,Highway,0,198.6
Van,Petrol,5,9.28,257,1890,1719,Medium,Mixed,1,39.39
Bus,Petrol,4,4.19,883,1,0,High,Mixed,1,292.33
Truck,Diesel,4,5.96,675,11564,6731,Medium,Highway,1,148.02
Mini Truck,Diesel,3,8.36,346,1191,1055,Low,City,0,55.79
Bus,Petrol,11,3.21,876,0,0,Medium,Highway,0,331.73
Van,Petrol,8,10.02,514,621,53,Medium,City,1,71.92
Mini Truck,Diesel,10,6.43,147,1293,965,Medium,City,0,32.55
Truck,Diesel,12,3.77,715,9463,8648,High,Mixed,1,308.39
Mini Truck,Petrol,11,9.73,320,1852,980,Medium,Mixed,1,45.34
Mini Truck,Petrol,1,7.77,407,1897,806,High,Highway,1,71.85
Mini Truck,Petrol,2,6.59,576,3286,432,Low,Highway,1,97.02
Van,Diesel,6,14.04,714,771,546,High,Mixed,1,80.41
Truck,Petrol,4,4.74,431,8980,1916,Low,Highway,1,103.62
Bus,Petrol,8,3.75,594,1,1,Medium,Mixed,0,229.49
Van,Diesel,7,10.18,91,1462,1071,Medium,City,0,12.28
Bus,Diesel,4,3.68,927,1,1,Medium,Highway,0,331.12
Van,Diesel,4,14.74,633,1232,492,Medium,Highway,1,55.21
Truck,Petrol,4,3.54,317,10667,3878,High,Highway,0,119.19
Truck,Petrol,10,5.43,486,11009,4990,Medium,City,1,132.74
Van,Petrol,8,9.22,60,1705,1261,High,City,1,11.09
Truck,Petrol,6,5.47,608,9379,5511,Medium,City,0,157.75
Mini Truck,Diesel,1,8.65,41,3814,1027,Medium,City,0,7.74
Mini Truck,Diesel,1,8.08,849,1082,600,Low,Mixed,1,131.83
Bus,Petrol,10,4.28,52,0,0,Medium,Mixed,0,16.2
Truck,Petrol,11,4.36,995,4119,3476,High,Mixed,0,357.46
Mini Truck,Petrol,9,7.85,273,1948,840,Medium,Highway,0,44.7
Truck,Petrol,9,5.58,959,10203,9108,High,City,1,286.58
Truck,Diesel,7,3.98,582,10816,2618,Low,Mixed,0,175.44
Truck,Diesel,8,5.27,395,11749,8337,High,Highway,1,109.09
Truck,Petrol,1,4.91,756,7787,818,High,City,1,224.36
Bus,Diesel,8,4.43,743,0,0,Medium,Highway,1,204.86
Mini Truck,Diesel,2,8.12,433,2509,2316,Medium,Highway,1,71.59
Truck,Petrol,10,5.5,747,7182,4484,Low,City,1,190.81
Truck,Diesel,1,5.24,823,7452,296,Medium,City,1,207.54
Truck,Diesel,4,5.32,764,5015,417,Medium,City,0,187.36
Mini Truck,Petrol,3,8.34,185,3146,3033,Low,Mixed,1,27.67
Bus,Diesel,8,4.85,622,1,1,High,City,0,209.55
Bus,Diesel,11,4.84,851,1,0,Medium,City,1,247.22
Bus,Petrol,12,4.88,997,1,0,High,City,0,305.47
Truck,Petrol,4,5.92,683,5340,2904,High,Mixed,0,165.89
Mini Truck,Petrol,8,6.48,751,2326,798,Medium,Highway,0,144.39
Mini Truck,Petrol,4,8.8,966,2053,250,Low,City,1,137.38
Truck,Diesel,5,3.36,718,4631,3350,Medium,City,1,315.6
Bus,Diesel,8,4.55,468,0,0,Low,Highway,1,115.68
Mini Truck,Diesel,8,7.72,440,2334,37,Medium,Highway,1,71.29
Van,Diesel,12,10.76,664,1548,1121,Low,City,1,91.51
Mini Truck,Petrol,3,9.73,55,1687,897,Low,Mixed,1,6.13
Bus,Diesel,2,3.79,608,0,0,Low,City,1,197.01
Mini Truck,Petrol,8,6.5,865,2714,221,Medium,City,1,182.99
Van,Diesel,11,10.22,420,1770,43,High,Highway,1,55.46
Bus,Diesel,11,4.63,263,1,0,Medium,Highway,1,70.42
Van,Diesel,3,9.93,855,1876,113,High,City,1,124.16
Mini Truck,Petrol,7,9.88,352,2173,17,Low,Mixed,0,39.12
Bus,Diesel,11,4.94,728,0,0,Medium,Mixed,1,197.97
Van,Petrol,4,13.21,955,1525,889,Low,City,0,93.36
